year,sex,age_group,stp,est_deaths
2019,female,56,E54000016,32.022320062544686
2019,female,56,E54000017,21.304679937455315
2019,female,56,E54000018,19.421
2019,female,56,E54000019,16.735
2019,female,56,E54000020,17.23466263868129
2019,female,56,Region,229.9232428277641
2019,female,57,E54000010,27.378
2019,female,57,E54000011,10.123999999999999
2019,female,57,E54000012,26.136917778918548
2019,female,57,E54000013,18.038
2019,female,57,E54000014,27.404
2019,female,57,E54000015,24.096999999999998
2019,female,57,E54000016,30.339232873098844
2019,female,57,E54000017,24.687767126901157
2019,female,57,E54000018,17.703
2019,female,57,E54000019,20.886
2019,female,57,E54000020,18.894306309340855
2019,female,57,Region,245.6882240882594
2019,female,58,E54000010,29.084
2019,female,58,E54000011,15.38
2019,female,58,E54000012,23.069596167008896
2019,female,58,E54000013,23.435
2019,female,58,E54000014,22.043
2019,female,58,E54000015,26.727
2019,female,58,E54000016,32.81500233761636
2019,female,58,E54000017,27.069997662383635
2019,female,58,E54000018,22.528
2019,female,58,E54000019,17.14
2019,female,58,E54000020,17.833062377634153
2019,female,58,Region,257.12465854464307
2019,female,59,E54000010,32.785
2019,female,59,E54000011,14.190000000000001
2019,female,59,E54000012,27.75055565537303
2019,female,59,E54000013,19.918
2019,female,59,E54000014,31.820000000000004
2019,female,59,E54000015,29.749
2019,female,59,E54000016,35.695737928389455
2019,female,59,E54000017,24.496262071610545
2019,female,59,E54000018,24.333
2019,female,59,E54000019,18.232
2019,female,59,E54000020,18.435465400728404
2019,female,59,Region,277.4050210561014
2019,female,60,E54000010,31.805999999999997
2019,female,60,E54000011,14.187999999999999
2019,female,60,E54000012,31.645878272587268
2019,female,60,E54000013,20.974999999999998
2019,female,60,E54000014,29.778999999999996
2019,female,60,E54000015,30.39
2019,female,60,E54000016,35.1266564745205
2019,female,60,E54000017,33.4643435254795
2019,female,60,E54000018,24.496
2019,female,60,E54000019,23.069
2019,female,60,E54000020,20.070348308456662
2019,female,60,Region,295.0102265810439
2019,female,61,E54000010,31.964999999999996
2019,female,61,E54000011,14.299
2019,female,61,E54000012,30.89213590862423
2019,female,61,E54000013,24.028
2019,female,61,E54000014,26.342
2019,female,61,E54000015,31.837
2019,female,61,E54000016,40.36340062961189
2019,female,61,E54000017,32.650599370388115
2019,female,61,E54000018,26.072999999999997
2019,female,61,E54000019,23.29
2019,female,61,E54000020,20.888887497105326
2019,female,61,Region,302.6290234057295
2019,female,62,E54000010,41.059
2019,female,62,E54000011,12.884
2019,female,62,E54000012,33.290304970910334
2019,female,62,E54000013,28.63
2019,female,62,E54000014,30.851999999999997
2019,female,62,E54000015,30.736
2019,female,62,E54000016,43.18633810227896
2019,female,62,E54000017,32.408661897721046
2019,female,62,E54000018,26.567999999999998
